##Some comment
#q(1/A)	R	Err
0.035914	0.000137364	0
0.035776	0.000146451	0
0.035638	0.000153978	0
0.0355	0.000153077	0
0.035362	0.000146923	0
0.035224	0.000140269	0
0.035086	0.000143839	0
0.034948	0.000147774	0
0.03481	0.000147459	0
0.034672	0.000143136	0
0.034534	0.000133441	0
0.034396	0.000139717	0
0.034258	0.000145128	0
0.03412	0.000155037	0
0.033982	0.000160737	0
0.033844	0.000155191	0
0.033706	0.000155131	0
0.033568	0.000157289	0
0.03343	0.000159479	0
0.033292	0.000159848	0
0.033154	0.000158033	0
0.033016	0.000174142	0
0.032878	0.000185199	0
0.03274	0.000194195	0
0.032602	0.000200756	0
0.032464	0.000206661	0
0.032326	0.000209727	0
0.032188	0.000217909	0
0.03205	0.000219595	0
0.031912	0.000227147	0
0.031774	0.000225312	0
0.031636	0.000230254	0
0.031498	0.000238882	0
0.03136	0.000227169	0
0.031222	0.000228953	0
0.031084	0.000218972	0
0.030946	0.000223261	0
0.030808	0.000235484	0
0.03067	0.000247081	0
0.030532	0.000257003	0
0.030394	0.000267885	0
0.030256	0.000282642	0
0.030118	0.000285307	0
0.02998	0.00028761	0
0.029842	0.000290586	0
0.029704	0.000291504	0
0.029566	0.000306435	0
0.029428	0.000306847	0
0.02929	0.000313907	0
0.029152	0.000306988	0
0.029014	0.000297278	0
0.028876	0.000290303	0
0.028738	0.000297224	0
0.0286	0.000298213	0
0.028462	0.000297089	0
0.028324	0.000307065	0
0.028186	0.000312837	0
0.028048	0.000301098	0
0.02791	0.000309185	0
0.027772	0.000313361	0
0.027634	0.000327357	0
0.027496	0.000338663	0
0.027358	0.000345171	0
0.02722	0.000361444	0
0.027082	0.000372183	0
0.026944	0.00039178	0
0.026806	0.0004204	0
0.026668	0.000419063	0
0.02653	0.000425605	0
0.026392	0.000426031	0
0.026254	0.000454914	0
0.026116	0.000468036	0
0.025978	0.00046869	0
0.02584	0.000481609	0
0.025702	0.000503864	0
0.025564	0.000517244	0
0.025426	0.000518358	0
0.025288	0.000520002	0
0.02515	0.000521854	0
0.025012	0.000539962	0
0.024874	0.000549035	0
0.024736	0.000525943	0
0.024598	0.000536477	0
0.02446	0.000542385	0
0.024322	0.000540611	0
0.024184	0.000547885	0
0.024046	0.000568253	0
0.023908	0.000591419	0
0.02377	0.000603862	0
0.023632	0.000624652	0
0.023494	0.000639687	0
0.023356	0.000627755	0
0.023218	0.000638207	0
0.02308	0.000655449	0
0.022942	0.000645689	0
0.022804	0.000651947	0
0.022666	0.000646609	0
0.022528	0.000650446	0
0.02239	0.000679489	0
0.022252	0.000742576	0
0.022114	0.000739969	0
0.021976	0.000745503	0
0.021838	0.000755277	0
0.0217	0.000793108	0
0.021562	0.000813497	0
0.021424	0.00084045	0
0.021286	0.000878895	0
0.021148	0.000902317	0
0.02101	0.000936968	0
0.020872	0.000907201	0
0.020734	0.00097085	0
0.020596	0.00098177	0
0.020458	0.00100678	0
0.02032	0.00102888	0
0.020182	0.00104997	0
0.020044	0.00103771	0
0.019906	0.000847364	0
0.019768	0.00113208	0
0.01963	0.00119948	0
0.019492	0.00121738	0
0.019354	0.00125855	0
0.019216	0.00130631	0
0.019078	0.00134961	0
0.01894	0.00140766	0
0.018802	0.00141646	0
0.018664	0.00143765	0
0.018526	0.00146806	0
0.018388	0.00153524	0
0.01825	0.00159495	0
0.018112	0.00160455	0
0.017974	0.0016419	0
0.017836	0.00174162	0
0.017698	0.00182581	0
0.01756	0.00188186	0
0.017422	0.00198327	0
0.017284	0.00210492	0
0.017146	0.0021311	0
0.017008	0.00223083	0
0.01687	0.00221964	0
0.016732	0.00233556	0
0.016594	0.00246169	0
0.016456	0.00262851	0
0.016318	0.0026998	0
0.01618	0.00285576	0
0.016042	0.00299704	0
0.015904	0.00317431	0
0.015766	0.00332212	0
0.015628	0.00347898	0
0.01549	0.00361676	0
0.015352	0.00377915	0
0.015214	0.00412585	0
0.015076	0.00433931	0
0.014938	0.00472443	0
0.0148	0.00503331	0
0.014662	0.0055221	0
0.014524	0.00618012	0
0.014386	0.00686981	0
0.014248	0.00775661	0
0.01411	0.00736128	0
0.013972	0.0107144	0
0.013834	0.0132581	0
0.013696	0.015085	0
0.013558	0.0166103	0
0.01342	0.0174724	0
0.013282	0.0180518	0
0.013144	0.0176943	0
0.013006	0.0172059	0
0.012868	0.0168784	0
0.01273	0.0164091	0
0.012592	0.0153368	0
0.012454	0.0156518	0
0.012316	0.015526	0
0.012178	0.0149934	0
0.01204	0.0149202	0
0.011902	0.0149597	0
0.011764	0.0141754	0
0.011626	0.0134057	0
0.011488	0.0148312	0
0.01135	0.0130234	0
0.011212	0.0126985	0
0.011074	0.0120043	0
0.010936	0.0119347	0
0.010798	0.0111162	0
0.01066	0.0111049	0
