X , Y0 , E0
5.66 , 14.7584 , 0.00287437
5.67 , 12.217 , 0.0028555
5.68 , 9.59173 , 0.00284967
5.69 , 6.93718 , 0.00285891
5.7 , 4.30425 , 0.00288016
5.71 , 1.73873 , 0.00290635
5.72 , -0.719631 , 0.00292881
5.73 , -3.03784 , 0.00294025
5.74 , -5.1899 , 0.00293723
5.75 , -7.15679 , 0.00292124
5.76 , -8.92614 , 0.00289816
5.77 , -10.4916 , 0.00287613
5.78 , -11.8523 , 0.00286273
5.79 , -13.0117 , 0.00286238
5.8 , -13.9768 , 0.00287487
5.81 , -14.7573 , 0.00289549
5.82 , -15.3648 , 0.00291679
5.83 , -15.8116 , 0.00293117
5.84 , -16.1104 , 0.00293359
5.85 , -16.2738 , 0.00292326
5.86 , -16.3136 , 0.0029039
5.87 , -16.2406 , 0.00288235
5.88 , -16.0648 , 0.00286614
5.89 , -15.7949 , 0.00286082
5.9 , -15.4387 , 0.00286804
5.91 , -15.0031 , 0.00288498
5.92 , -14.4943 , 0.00290542
5.93 , -13.9181 , 0.00292195
5.94 , -13.2803 , 0.00292864
5.95 , -12.5866 , 0.00292314
5.96 , -11.8433 , 0.0029075
5.97 , -11.0573 , 0.00288745
5.98 , -10.2364 , 0.00287039
5.99 , -9.38932 , 0.00286268
6 , -8.52616 , 0.00286746
6.01 , -7.65815 , 0.00288345
6.02 , -6.79774 , 0.0029054
6.03 , -5.95851 , 0.00292589
6.04 , -5.15494 , 0.00293795
6.05 , -4.40217 , 0.00293747
6.06 , -3.71559 , 0.00292466
6.07 , -3.11044 , 0.00290398
6.08 , -2.60127 , 0.00288256
6.09 , -2.20143 , 0.00286772
6.1 , -1.92249 , 0.00286442
6.11 , -1.77372 , 0.0028735
6.12 , -1.76159 , 0.00289142
6.13 , -1.88937 , 0.00291149
6.14 , -2.15685 , 0.00292627
6.15 , -2.56018 , 0.00293017
6.16 , -3.09186 , 0.00292146
6.17 , -3.74094 , 0.00290291
6.18 , -4.49331 , 0.00288085
6.19 , -5.33216 , 0.00286297
6.2 , -6.23861 , 0.00285567
6.21 , -7.19228 , 0.00286177
6.22 , -8.17204 , 0.00287956
6.23 , -9.15662 , 0.00290328
6.24 , -10.1252 , 0.00292518
6.25 , -11.058 , 0.00293811
6.26 , -11.9364 , 0.00293802
6.27 , -12.7431 , 0.00292532
6.28 , -13.4623 , 0.00290473
6.29 , -14.0792 , 0.00288363
6.3 , -14.5798 , 0.00286946
6.31 , -14.9502 , 0.0028672
6.32 , -15.1761 , 0.00287756
6.33 , -15.2426 , 0.00289684
6.34 , -15.1331 , 0.00291813
6.35 , -14.8296 , 0.00293381
6.36 , -14.3122 , 0.00293813
6.37 , -13.5598 , 0.00292926
6.38 , -12.5501 , 0.00290992
6.39 , -11.261 , 0.0028864
6.4 , -9.6715 , 0.00286646
6.41 , -7.76315 , 0.00285661
6.42 , -5.52194 , 0.00285991
6.43 , -2.93994 , 0.00287496
6.44 , -0.0170904 , 0.00289643
6.45 , 3.2371 , 0.00291693
6.46 , 6.80223 , 0.00292961
6.47 , 10.646 , 0.00293049
6.48 , 14.7236 , 0.00291983
6.49 , 18.9781 , 0.00290193
6.5 , 23.3408 , 0.00288357
6.51 , 27.733 , 0.00287161
6.52 , 32.0675 , 0.0028705
6.53 , 36.2519 , 0.00288075
6.54 , 40.1909 , 0.00289876
6.55 , 43.7903 , 0.00291811
6.56 , 46.9602 , 0.00293183
6.57 , 49.6187 , 0.00293492
6.58 , 51.695 , 0.00292612
6.59 , 53.1328 , 0.00290839
6.6 , 53.8921 , 0.00288787
6.61 , 53.9516 , 0.00287175
6.62 , 53.3093 , 0.00286574
6.63 , 51.9824 , 0.00287205
6.64 , 50.0071 , 0.00288858
6.65 , 47.4367 , 0.00290964
6.66 , 44.3395 , 0.00292792
6.67 , 40.7958 , 0.00293703
6.68 , 36.8948 , 0.00293373
6.69 , 32.7308 , 0.00291908
6.7 , 28.3999 , 0.00289811
6.71 , 23.9961 , 0.00287804
6.72 , 19.6086 , 0.00286582
6.73 , 15.3183 , 0.0028657
6.74 , 11.1962 , 0.00287776
6.75 , 7.30153 , 0.00289785
6.76 , 3.68071 , 0.00291908
6.77 , 0.367405 , 0.00293413
6.78 , -2.61731 , 0.00293783
6.79 , -5.26396 , 0.00292892
6.8 , -7.57327 , 0.00291047
6.81 , -9.55454 , 0.0028888
6.82 , -11.2238 , 0.00287124
6.83 , -12.6017 , 0.00286364
6.84 , -13.7121 , 0.00286829
6.85 , -14.5801 , 0.00288319
6.86 , -15.2309 , 0.00290274
6.87 , -15.6884 , 0.00291975
6.88 , -15.975 , 0.00292798
6.89 , -16.1113 , 0.00292434
6.9 , -16.1154 , 0.00291001
6.91 , -16.0038 , 0.00289001
6.92 , -15.7918 , 0.00287151
6.93 , -15.4934 , 0.00286131
6.94 , -15.1224 , 0.00286344
6.95 , -14.6929 , 0.00287776
6.96 , -14.2192 , 0.00289994
6.97 , -13.7165 , 0.0029229
6.98 , -13.2004 , 0.00293925
6.99 , -12.6874 , 0.00294377
7 , -12.1939 , 0.00293517
7.01 , -11.7361 , 0.00291654
7.02 , -11.3291 , 0.00289423
7.03 , -10.9866 , 0.00287565
7.04 , -10.7203 , 0.00286677
7.05 , -10.539 , 0.00287007
7.06 , -10.4484 , 0.00288374
7.07 , -10.4511 , 0.00290241
7.08 , -10.5462 , 0.00291905
7.09 , -10.7293 , 0.00292745
7.1 , -10.9931 , 0.00292443
7.11 , -11.3277 , 0.0029109
7.12 , -11.7209 , 0.00289156
7.13 , -12.1589 , 0.00287322
7.14 , -12.627 , 0.00286244
7.15 , -13.1097 , 0.00286319
7.16 , -13.5912 , 0.00287548
7.17 , -14.0563 , 0.00289536
7.18 , -14.4895 , 0.00291624
7.19 , -14.8762 , 0.0029312
7.2 , -15.2018 , 0.00293537
7.21 , -15.4519 , 0.00292756
7.22 , -15.6122 , 0.0029107
7.23 , -15.6683 , 0.00289075
7.24 , -15.6057 , 0.00287463
7.25 , -15.4096 , 0.00286785
7.26 , -15.0654 , 0.00287259
7.27 , -14.5589 , 0.00288701
7.28 , -13.8769 , 0.00290592
7.29 , -13.0078 , 0.00292259
7.3 , -11.9425 , 0.00293119
7.31 , -10.6754 , 0.0029287
7.32 , -9.20532 , 0.00291605
7.33 , -7.53622 , 0.00289767
7.34 , -5.67829 , 0.00287997
7.35 , -3.64837 , 0.00286908
7.36 , -1.4703 , 0.00286868
7.37 , 0.82506 , 0.00287881
